ensembl_gene_id,sepwes003,sepwes006,sepwes007,sepwes008,sepwes009,sepwes010,sepwes011,sepwes012
ENSG00000047056,8,9,8,9,8,9,9,8
ENSG00000047188,8,8,8,7,8,8,8,8
ENSG00000047230,5,5,6,5,8,6,6,6
ENSG00000047249,8,8,8,9,7,8,7,8
ENSG00000047315,9,10,10,10,10,10,10,9
ENSG00000047346,7,8,9,7,9,9,9,8
ENSG00000047365,10,9,10,7,9,8,9,9
ENSG00000047410,10,11,11,11,10,11,10,11
ENSG00000047578,8,8,9,9,7,8,7,8
ENSG00000047579,8,8,8,8,8,7,7,7
ENSG00000047597,9,6,6,8,6,8,9,7
ENSG00000047621,7,7,7,5,8,7,7,7
ENSG00000047634,7,5,7,4,4,5,6,6
ENSG00000047644,10,10,11,11,10,10,10,10
ENSG00000047648,6,5,6,6,4,5,5,6
ENSG00000047849,9,9,9,9,10,9,9,9
ENSG00000047932,8,7,8,6,9,8,8,8
ENSG00000048028,8,7,8,7,10,7,8,9
ENSG00000048052,5,6,6,5,7,7,7,6
ENSG00000048140,8,7,7,8,7,7,8,8
ENSG00000048162,6,6,5,6,7,6,6,6
ENSG00000048392,9,9,10,8,10,9,9,9
ENSG00000048405,8,8,8,7,8,8,8,8
ENSG00000048462,5,4,5,7,7,4,5,3
ENSG00000048471,8,7,8,7,9,7,8,8
ENSG00000048544,8,8,7,7,8,8,8,7
ENSG00000048649,10,9,10,10,10,9,10,10
ENSG00000048707,8,9,9,9,9,9,9,9
ENSG00000048740,12,12,13,12,11,12,12,12
ENSG00000048828,11,11,11,11,10,11,10,11
ENSG00000048991,7,7,7,7,9,7,8,8
ENSG00000049089,9,8,9,7,10,6,6,8
ENSG00000049167,5,5,5,4,6,5,6,5
ENSG00000049192,4,3,4,3,6,3,4,4
ENSG00000049239,8,10,8,10,9,10,9,8
ENSG00000049245,12,11,11,10,9,10,9,10
ENSG00000049246,6,4,6,4,5,5,6,6
ENSG00000049247,3,3,4,4,5,4,4,4
